1431528412;A;2;31813.000;2116.000;prutok b2;18041.000;129368.000;0.015;2548DESWE-87-874/4;WEIGHT METER;6;Voltage in dam 3
1431528413;ms^-2;13;2097.000;29109.000;hraz v1;25911.000;96728.000;0.010;2548DESWE-87-874/4;WEIGHT METER;2;Measurement desc 3
1431528414;g;1;24120.000;3836.000;napeti v1;2352.000;71312.000;0.005;2517/7;AMPER METER 1;5;Voltage in dam 2
1431528415;ms^-2;4;21719.000;12346.000;prutok b4;28574.000;183883.000;0.010;251-DF-DFR-FRT;FLOW METER 3;1;Measurement desc 2
1431528416;mol;12;29171.000;68.000;povrch b2;18349.000;15768.000;0.003;251-DF-DFR-FRT;FLOW METER 3;9;Resistance 3
1431528417;ohm;4;11889.000;18692.000;hraz v2;31306.000;9602.000;0.005;11;REDOX METER;13;Flow in corridor 4
1431528418;m^3;2;2546.000;276.000;prutok b3;1325.000;7648.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;0;Measurement desc 1
1431528419;ms^-1;11;30962.000;3787.000;prutok b4;13604.000;93790.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;10;Flow in corridor 1
1431528420;m;13;31505.000;27737.000;prutok b3;19362.000;144192.000;0.100;0A2154AD;OHM METER;3;Measurement desc 4
1431528421;ms^-2;14;25485.000;6450.000;povrch b3;23431.000;12775.000;0.010;0A2154AD;OHM METER;10;Flow in corridor 1
1431528422;VA;10;8740.000;1204.000;hraz v1;26928.000;56456.000;0.002;EDF-5874-8745/A;FLOW METER 2;13;Flow in corridor 4
1431528423;ohm;11;5667.000;24105.000;prutok b2;6593.000;45932.000;0.005;DESWR/DFGTRE-587;AMPER METER 2;8;Resistance 2
1431528424;K;11;14728.000;30155.000;prehrada b2;32178.000;31759.000;0.100;EDF-5874-8745/A;FLOW METER 2;14;Flow in corridor 5
1431528425;K;0;11971.000;7006.000;povrch b2;17047.000;2388.000;0.100;251-DF-DFR-FRT;FLOW METER 3;13;Flow in corridor 4
1431528426;mol;13;32359.000;9678.000;prutok b3;22580.000;54397.000;0.003;2148DRFES-587;FLOW METER;10;Flow in corridor 1
1431528427;ms;10;3904.000;4092.000;prutok b4;21696.000;157440.000;0.001;2517/7;AMPER METER 1;13;Flow in corridor 4
1431528428;ms^-2;13;9854.000;22285.000;povrch b3;9336.000;27908.000;0.010;2548DESWE-87-874/4;WEIGHT METER;2;Measurement desc 3
1431528429;VA;5;31376.000;1495.000;prutok b3;20583.000;99246.000;0.002;2148DRFES-587;FLOW METER;0;Measurement desc 1
1431528430;K;8;9599.000;6514.000;prutok b4;26740.000;67104.000;0.100;11;REDOX METER;12;Flow in corridor 3
1431528431;A;2;619.000;11062.000;prutok b3;23724.000;66501.000;0.015;11;REDOX METER;0;Measurement desc 1
1431528432;ms;4;17006.000;3050.000;povrch b2;20944.000;139815.000;0.001;EDF-5874-8745/A;FLOW METER 2;5;Voltage in dam 2
1431528433;ms^-2;3;17571.000;15402.000;prutok b2;15649.000;36552.000;0.010;2148DRFES-587;FLOW METER;13;Flow in corridor 4
1431528434;mol;6;32105.000;28170.000;prehrada b1;21354.000;17397.000;0.003;EDF-5874-8745/A;FLOW METER 2;13;Flow in corridor 4
1431528435;VA;10;30959.000;31765.000;napeti v2;5967.000;116370.000;0.002;DESWR/DFGTRE-587;AMPER METER 2;5;Voltage in dam 2
1431528436;A;8;17656.000;359.000;odpor v1;4820.000;100230.000;0.015;2517/7;AMPER METER 1;9;Resistance 3
1431528437;VA;7;19980.000;32565.000;povrch b3;2096.000;40012.000;0.002;2148DRFES-587;FLOW METER;14;Flow in corridor 5
1431528438;VA;1;31622.000;15165.000;povrch b1;9683.000;201380.000;0.002;251-DF-DFR-FRT;FLOW METER 3;12;Flow in corridor 3
1431528439;ms^-1;4;6005.000;17411.000;prutok b3;2485.000;229208.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;0;Measurement desc 1
1431528440;m^3;10;19726.000;17866.000;napeti v2;8160.000;172310.000;0.100;251-DF-DFR-FRT;FLOW METER 3;9;Resistance 3
1431528441;ms;7;19174.000;7417.000;prehrada b2;10304.000;222700.000;0.001;0A2154AD;OHM METER;10;Flow in corridor 1
1431528442;g;4;21591.000;20972.000;povrch b2;28585.000;325970.000;0.005;EDF-5874-8745/A;FLOW METER 2;1;Measurement desc 2
1431528443;VA;5;19924.000;27072.000;odpor v1;2088.000;225000.000;0.002;0A2154AD;OHM METER;4;Voltage in dam 1
1431528444;m;14;4301.000;14477.000;prutok b4;3214.000;104682.000;0.100;EDF-5874-8745/A;FLOW METER 2;6;Voltage in dam 3
1431528445;m^3;6;4810.000;8405.000;hraz v1;15162.000;72996.000;0.100;11;REDOX METER;0;Measurement desc 1
1431528446;VA;10;11175.000;27700.000;napeti v2;29734.000;88112.000;0.002;2548DESWE-87-874/4;WEIGHT METER;14;Flow in corridor 5
1431528447;ms^-2;1;1830.000;10537.000;hraz v3;26165.000;159306.000;0.010;21487/7854/784;CANDELA METER;3;Measurement desc 4
1431528448;m^3;9;3507.000;14964.000;prutok b3;30650.000;145200.000;0.100;2148DRFES-587;FLOW METER;13;Flow in corridor 4
1431528449;K;3;20590.000;867.000;prutok b1;13899.000;123669.000;0.100;2548DESWE-87-874/4;WEIGHT METER;13;Flow in corridor 4
1431528450;mol;6;17543.000;23934.000;prutok b1;22983.000;46175.000;0.003;2517/7;AMPER METER 1;8;Resistance 2
1431528451;ms^-2;3;22985.000;17287.000;povrch b1;9893.000;60810.000;0.010;2148DRFES-587;FLOW METER;1;Measurement desc 2
1431528452;ms^-1;1;14427.000;23944.000;prutok b3;15230.000;109352.000;0.100;0A2154AD;OHM METER;7;Resistance 1
1431528453;g;4;12732.000;23142.000;hraz v1;5597.000;49480.000;0.005;251-DF-DFR-FRT;FLOW METER 3;8;Resistance 2
1431528454;ohm;13;12599.000;16999.000;prehrada b1;23109.000;162894.000;0.005;251-DF-DFR-FRT;FLOW METER 3;4;Voltage in dam 1
1431528455;ms^-2;9;14173.000;12089.000;prehrada b1;11139.000;19282.000;0.010;2517/7;AMPER METER 1;7;Resistance 1
1431528456;m^3;0;11442.000;5381.000;povrch b1;7478.000;25056.000;0.100;11;REDOX METER;0;Measurement desc 1
1431528457;K;14;6141.000;2296.000;hraz v1;3483.000;125900.000;0.100;11;REDOX METER;9;Resistance 3
1431528458;A;14;848.000;12504.000;prutok b4;29341.000;137904.000;0.015;DESWR/DFGTRE-587;AMPER METER 2;12;Flow in corridor 3
1431528459;ohm;7;7344.000;18434.000;hraz v3;26140.000;137016.000;0.005;2517/7;AMPER METER 1;0;Measurement desc 1
1431528460;m^3;9;24047.000;25971.000;prutok b4;32124.000;35805.000;0.100;11;REDOX METER;5;Voltage in dam 2
1431528461;ms^-1;13;18343.000;28527.000;prehrada b1;14448.000;32307.000;0.100;11;REDOX METER;12;Flow in corridor 3
1431528462;ms;13;31629.000;26619.000;prehrada b2;4872.000;23894.000;0.001;DESWR/DFGTRE-587;AMPER METER 2;10;Flow in corridor 1
1431528463;ohm;6;16862.000;32458.000;povrch b2;1785.000;143514.000;0.005;11;REDOX METER;8;Resistance 2
1431528464;ms^-2;4;18037.000;5272.000;prehrada b2;2091.000;62890.000;0.010;21487/7854/784;CANDELA METER;5;Voltage in dam 2
1431528465;ms^-2;11;6269.000;7006.000;napeti v1;18568.000;87327.000;0.010;2148DRFES-587;FLOW METER;12;Flow in corridor 3
1431528466;m;7;14850.000;34.000;prehrada b2;20227.000;21534.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;10;Flow in corridor 1
1431528467;ms^-2;14;19029.000;2514.000;prutok b1;11750.000;274050.000;0.010;2548DESWE-87-874/4;WEIGHT METER;12;Flow in corridor 3
1431528468;mol;12;6119.000;22901.000;napeti v1;25695.000;16820.000;0.003;11;REDOX METER;14;Flow in corridor 5
1431528469;m;4;9584.000;30616.000;povrch b3;14157.000;11986.000;0.100;EDF-5874-8745/A;FLOW METER 2;10;Flow in corridor 1
1431528470;K;4;28153.000;6911.000;prutok b1;3399.000;21746.000;0.100;251-DF-DFR-FRT;FLOW METER 3;4;Voltage in dam 1
1431528471;A;12;29846.000;5250.000;prutok b2;6637.000;7616.000;0.015;2548DESWE-87-874/4;WEIGHT METER;8;Resistance 2
1431528472;ohm;0;27457.000;3144.000;hraz v3;25715.000;42700.000;0.005;251-DF-DFR-FRT;FLOW METER 3;0;Measurement desc 1
1431528473;m^3;8;31938.000;31778.000;hraz v3;30058.000;12474.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;9;Resistance 3
1431528474;K;3;1523.000;4965.000;povrch b1;14288.000;14964.000;0.100;11;REDOX METER;14;Flow in corridor 5
1431528475;VA;13;19087.000;28556.000;prutok b3;22874.000;44035.000;0.002;0A2154AD;OHM METER;9;Resistance 3
1431528476;m;7;28833.000;22157.000;odpor v1;13825.000;3943.000;0.100;21487/7854/784;CANDELA METER;10;Flow in corridor 1
1431528477;mol;9;20456.000;24166.000;hraz v1;6858.000;160760.000;0.003;0A2154AD;OHM METER;4;Voltage in dam 1
1431528478;m^3;12;24530.000;11647.000;hraz v3;27609.000;192140.000;0.100;251-DF-DFR-FRT;FLOW METER 3;4;Voltage in dam 1
1431528479;ms^-2;13;20823.000;16605.000;prehrada b1;31160.000;48152.000;0.010;2548DESWE-87-874/4;WEIGHT METER;12;Flow in corridor 3
1431528480;ms^-2;11;8056.000;25374.000;povrch b3;4580.000;87918.000;0.010;0A2154AD;OHM METER;8;Resistance 2
1431528481;m^3;4;9112.000;16619.000;prutok b3;5784.000;29497.000;0.100;2548DESWE-87-874/4;WEIGHT METER;13;Flow in corridor 4
