1432245321;A;6;109.000;11219.000;hraz v1;22121.000;1993.000;0.015;21487/7854/784;CANDELA METER;4;Voltage in dam 1
1432245322;ms^-1;13;15554.000;31071.000;prehrada b2;6678.000;245820.000;0.100;EDF-5874-8745/A;FLOW METER 2;10;Flow in corridor 1
1432245323;VA;2;4450.000;7539.000;prehrada b1;21620.000;160200.000;0.002;251-DF-DFR-FRT;FLOW METER 3;10;Flow in corridor 1
1432245324;mol;8;335.000;11144.000;prutok b2;28664.000;30706.000;0.003;251-DF-DFR-FRT;FLOW METER 3;11;Flow in corridor 2
1432245325;mol;0;18989.000;16670.000;hraz v1;31639.000;137456.000;0.003;0A2154AD;OHM METER;0;Measurement desc 1
1432245326;m^3;13;19622.000;4073.000;prehrada b1;26051.000;22760.000;0.100;0A2154AD;OHM METER;4;Voltage in dam 1
1432245327;ms^-2;5;16548.000;5644.000;prutok b3;22437.000;21916.000;0.010;0A2154AD;OHM METER;7;Resistance 1
1432245328;K;11;29255.000;8427.000;prutok b1;11419.000;91112.000;0.100;2148DRFES-587;FLOW METER;6;Voltage in dam 3
1432245329;ms;1;726.000;30166.000;prutok b1;16884.000;257790.000;0.001;11;REDOX METER;9;Resistance 3
1432245330;m^3;6;27080.000;15669.000;prehrada b1;6889.000;122370.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;4;Voltage in dam 1
1432245331;m;8;12933.000;3054.000;prutok b4;5343.000;16121.000;0.100;DESWR/DFGTRE-587;AMPER METER 2;2;Measurement desc 3
1432245332;m^3;13;12823.000;9980.000;prutok b3;10203.000;15264.000;0.100;2148DRFES-587;FLOW METER;6;Voltage in dam 3
1432245333;ms^-2;1;12518.000;23865.000;prehrada b2;28485.000;130248.000;0.010;EDF-5874-8745/A;FLOW METER 2;0;Measurement desc 1
1432245334;ms;0;17728.000;5028.000;odpor v1;30433.000;190169.000;0.001;0A2154AD;OHM METER;3;Measurement desc 4
1432245335;m^3;7;22980.000;24447.000;prehrada b1;2058.000;12572.000;0.100;2517/7;AMPER METER 1;11;Flow in corridor 2
1432245336;ms;5;7149.000;19248.000;napeti v1;29488.000;1680.000;0.001;2148DRFES-587;FLOW METER;14;Flow in corridor 5
1432245337;mol;11;20293.000;8429.000;hraz v3;4499.000;5339.000;0.003;11;REDOX METER;7;Resistance 1
1432245338;A;11;16529.000;22480.000;prehrada b1;31553.000;67304.000;0.015;0A2154AD;OHM METER;9;Resistance 3
1432245339;m^3;1;21830.000;32629.000;prutok b1;11597.000;54282.000;0.100;251-DF-DFR-FRT;FLOW METER 3;9;Resistance 3
1432245340;g;6;29525.000;17748.000;hraz v2;7248.000;143616.000;0.005;11;REDOX METER;12;Flow in corridor 3
1432245341;K;12;15622.000;28837.000;hraz v3;28453.000;132916.000;0.100;2517/7;AMPER METER 1;8;Resistance 2
1432245342;m;12;23887.000;28834.000;prehrada b2;24031.000;29483.000;0.100;0A2154AD;OHM METER;8;Resistance 2
1432245343;A;14;24665.000;22724.000;hraz v2;28942.000;94520.000;0.015;2548DESWE-87-874/4;WEIGHT METER;9;Resistance 3
1432245344;A;9;21531.000;26461.000;prutok b2;7475.000;159318.000;0.015;2148DRFES-587;FLOW METER;14;Flow in corridor 5
1432245345;VA;11;11644.000;29317.000;povrch b2;30336.000;29526.000;0.002;251-DF-DFR-FRT;FLOW METER 3;10;Flow in corridor 1
1432245346;ohm;12;11619.000;22318.000;povrch b1;30932.000;966.000;0.005;DESWR/DFGTRE-587;AMPER METER 2;3;Measurement desc 4
1432245347;m;4;16994.000;18062.000;hraz v1;8181.000;68635.000;0.100;EDF-5874-8745/A;FLOW METER 2;13;Flow in corridor 4
1432245348;ms^-1;12;8777.000;3463.000;povrch b3;19471.000;37170.000;0.100;11;REDOX METER;7;Resistance 1
1432245349;mol;6;6213.000;13010.000;prutok b1;11885.000;11529.000;0.003;2517/7;AMPER METER 1;5;Voltage in dam 2
1432245350;m;8;17142.000;1757.000;povrch b2;14966.000;37948.000;0.100;11;REDOX METER;9;Resistance 3
1432245351;m;13;16156.000;575.000;povrch b3;22249.000;21825.000;0.100;21487/7854/784;CANDELA METER;2;Measurement desc 3
1432245352;mol;13;31266.000;3679.000;prehrada b1;19292.000;206488.000;0.003;11;REDOX METER;2;Measurement desc 3
1432245353;m^3;1;10548.000;5154.000;prutok b3;9714.000;324520.000;0.100;2517/7;AMPER METER 1;4;Voltage in dam 1
1432245354;ms^-1;11;8310.000;27974.000;povrch b1;5467.000;142560.000;0.100;2148DRFES-587;FLOW METER;2;Measurement desc 3
